多遗憾啊！	Too bad.
湯姆不老。	Tom isn't old.
我鄙视你。	I despise you.
我有癌症。	I have cancer.
我吓一跳。	I was shocked.
我这就走。	I'm going now.
我是教練。	I'm the coach.
决不放弃。	Never give up.
汤姆爱你。	Tom loves you.
我在发呆。	I'm out of it.
不是真的！	It's not true!
我听得到。	I can hear it.
他们吃肉。	They eat meat.
我爱法语。	I love French.
我脖子痛。	My neck hurts.
我恨冬天。	I hate winter.
我好孤单。	I'm so lonely.
停止霸凌！	Stop bullying.
我不挑剔。	I'm not fussy.
我买的花。	I buy flowers.
我不晓得。	I do not know.
別做夢了。	Stop dreaming.
汤姆没走。	Tom didn't go.
我们问他。	We'll ask him.
不能这样！	That can't be!
这是假发。	This is a wig.
那是血嗎？	Is that blood?
再来一次！	One more time!
当然不行！	Obviously not!
我上路了！	I'm going now!
猫很可爱。	Cats are cute.
谁在减肥？	Who's on diet?
我有哮喘。	I have asthma.
我没通过。	I didn't pass.
他们吃鱼。	They eat fish.
她在抽煙。	She's smoking.
那是紙嗎？	Is that paper?
快到家了……	Almost home...
耶稣很好。	Jesus is good.
在下雪嗎？	Is it snowing?
我吃过了。	I've eaten it.
还要多少？	How much more?
你是猪吗？	Are you a pig?
謝謝，很好！	Thanks, great!
帮我们做.	Help us do it.
他有哮喘。	He has asthma.
他吃麵包。	He eats bread.
他幫忙了。	He helped out.
他有幫忙。	He helped out.
他发疯了。	He's a psycho.
他在工作。	He is working.
哇！打破了！	Ahh! It broke!
他上当了。	He was fooled.
按任何键。	Press any key.
留点儿神！	Be more aware!
它没有吃。	It didn't eat.
这是空的。	This is empty.
我们害怕。	We are scared.
他有蘋果。	He has apples.
一起工作。	Work together.
里瑪做的。	Rima did that.
我变灰了。	I turned grey.
能理解我。	Understand me.
不许讨论。	No discussion.
我很爱飞。	I love flying.
默默地走。	Leave quietly.
好，我同意。	Okay, I agree.
他吃蘋果。	He ate apples.
我餵了貓。	I fed the cat.
保衛台灣 ！	Defend Taiwan!
你回家了。	You went home.
我叫王明。	My name is 王明.
你想我了？	Do you miss me?
我叫傑克。	My name's Jack.
我脱衣服。	I'm undressing.
做得很好。	It's well done.
这个多少？	How much is it?
这个几块？	How much is it?
我同情你。	I feel for you.
该起床了。	Time to get up.
恐怕不行。	I'm afraid not.
大家好嗎？	How's everyone?
说谎不好。	Lying is wrong.
我肚子疼。	My tummy hurts.
是的，當然。	Yes, of course.
我不明白。	I don't get it.
看电视吧。	Let's watch TV.
别说这个。	Don't say that.
看这本书。	Read this book.
生日快乐！	Happy birthday!
禁止入内。	No Trespassing.
取决于你	It's up to you.
我想要去。	I'd like to go.
我今天忙。	I'm busy today.
我没时间。	I have no time.
我很快乐。	I'm very happy.
我很幸福。	I'm very happy.
我非常高。	I am very tall.
我起床早。	I got up early.
我想活着。	I want to live.
請幫助我。	Please help me.
秋天到了。	Autumn is here.
洗您的脚。	Wash your feet.
洗你的脚。	Wash your feet.
冬天过了。	Winter is gone.
我发烧了。	I have a fever.
他提速了。	He accelerated.
他很沮喪。	He's depressed.
他到了吗?	Has he arrived?
他是教师。	He's a teacher.
他是老师。	He's a teacher.
对她好点。	Be nice to her.
她是医生。	She's a doctor.
她流淚了。	She shed tears.
由我来做.	I'll see to it.
让我来弄。	Leave it to me.
你爱我吗？	Do you love me?
我在伦敦。	I am in London.
张开眼睛。	Open your eyes.
睁开眼睛。	Open your eyes.
嘿, 是你啊!	Hey, you there!
新年快乐！	Happy New Year!
輪到你了。	It's your turn.
輪到您了。	It's your turn.
打掃房間。	Clean the room.
你吃了嗎？	Have you eaten?
他需要钱。	He needs money.
我习惯了。	I'm used to it.
不用客气。	You're welcome.
你必须走。	You must leave.
你饿了吗？	Are you hungry?
他卖水果。	He sells fruit.
我太矮了。	I am too short.
物價上漲。	Prices went up.
有个办法。	There is a way.
他晒不黑。	He doesn't tan.
小心碰头。	Mind your head.
我去学校。	I go to school.
我学韩语。	I study Korean.
让我去做。	Let me do that.
我是游客。	I am a tourist.
这是事实。	It's the truth.
湯姆，別死。	Tom, don't die.
他是作家。	He's an author.
牛可产奶。	Cows give milk.
停止抵抗！	Stop resisting!
她是李樱。	She is Li Ying.
我打嗝了。	I have hiccups.
我是好人。	I'm a nice guy.
是谁在读？	Who is reading?
她骗了他。	She fooled him.
她抱了他。	She hugged him.
她相信他。	She trusts him.
我吃多了。	I ate too much.
我很激动。	I'm so excited.
我想知道。	I want to know.
汤姆不高。	Tom isn't tall.
汤姆不傻。	Tom isn't dumb.
湯姆不傻。	Tom isn't dumb.
汤姆累了。	Tom felt tired.
他不说谎。	He doesn't lie.
你想我吗？	Do you miss me?
你是熊貓。	You're a panda.
你是貓熊。	You're a panda.
你是熊猫。	You're a panda.
你会来吗？	Are you coming?
她懷孕了。	She's pregnant.
你害怕吗？	Are you afraid?
让我解释。	Let me explain.
我没有罪。	I'm not guilty.
汤姆在笑。	Tom's laughing.
这不好笑。	It's not funny.
我爱茄子。	I love brinjal.
可以碰嗎？	Can I touch it?
我信过你。	I believed you.
你睡了吗？	Have you slept?
你在哭嗎？	Are you crying?
那更好吗？	Is that better?
太完美了。	It was perfect.
你不能輸。	You can't lose.
我想去玩。	I want to play.
请清洗它。	Please wash it.
马上回来。	Return at once.
繼續搜尋。	Keep searching.
那是塑料。	That's plastic.
他快死了。	He almost died.
你们有吗?	Do you have it?
在图书馆。	At the library.
解决他们。	Deal with them.
把刀放下！	Drop the knife!
請告訴我。	Please tell me.
休息一下。	Relax a moment.
那是魔术。	That was magic.
貓叫了叫。	The cat meowed.
我吃肉了。	I ate the meat.
她變胖了。	She became fat.
蘋果掉了！	The apple fell!
猫很聪明。	Cats are smart.
这个不会。	This one won't.
你不热吗？	Aren't you hot?
你在读书。	You're reading.
我不貪婪。	I'm not greedy.
我不出名。	I'm not famous.
我没名气。	I'm not famous.
来迟了吗？	Is it too late?
笔在那儿。	There is a pen.
我不高兴。	I am not happy.
午餐好了。	Lunch is ready.
他们爱她。	They loved her.
好羡慕啊。	I'm so jealous!
我不欠债。	I have no debt.
她们害怕。	They're afraid.
没有办法。	There's no way.
咱去那吧。	Let's go there.
祝你健康！	To your health!
我同意了。	I played along.
我沒答覆。	I didn't reply.
你好！明惠。	Hello! Minghui.
你好！林峰。	Hello! Linfeng.
肉眼可见。	Anyone can see.
我叫湯姆。	I'm called Tom.
那儿有笔?	Where is a pen?
她吃麵包。	She eats bread.
她回来了。	She's returned.
他能理解。	He understands.
快救命啊！	Quick, help me!
你们害怕。	You are scared.
她在工作。	She is at work.
我去玩了！	I went to play!
你洗澡了。	You had a bath.
蘋果掉了。	The apple fell.
他不奇怪。	He isn't weird.
他挨了罵。	He was scolded.
他三岁了。	He's three now.
我戴手錶。	I wear a watch.
我落選了。	I did not pass.
完蛋了啦。	We're done for.
她叫明惠。	She is Minghui.
外面有霧。	It's foggy out.
我在眨眼。	I was blinking.
妳很獨特。	You are unique.
你很獨特。	You are unique.
您很獨特。	You are unique.
她沒受傷。	She isn't hurt.
她被杀了。	She was killed.
它不见了。	It disappeared.
不要错了。	Don't be wrong.
我能幫忙。	I can help out.
你摔角嗎？	Do you wrestle?
非常好吃！	Very delicious!
非常美味！	Very delicious!
我见过龙。	I saw a dragon!
她吃蘋果。	She ate apples.
非常好玩。	It is very fun.
那是土星。	That is Saturn.
我叫伊娃。	My name is Eva.
他在踢我！	He's kicking me!
把嘴张开！	Open your mouth!
你真粗魯！	How rude of you!
你受骗了。	You've been had.
您被骗了。	You've been had.
苦盡甘来。	No pain no gain.
太惊喜了!	What a surprise!
不要害怕。	Don't be afraid.
无庸置疑！	Without a doubt!
不要冒险。	Don't run risks.
你不冷吗？	Aren't you cold?
你记得吗？	Do you remember?
咬紧牙关。	Bite the bullet.
硬着头皮。	Bite the bullet.
你怎么了？	What's with you?
少了什么？	What is missing?
我拉肚子。	I have diarrhea.
嗨！你好嗎？	Hi! How are you?
它们是瓜。	They are melons.
下星期见.	Until next week.
我快好了。	I'm about ready.
球是圆的。	Balls are round.
我想家了。	I feel homesick.
请坐一下。	Please sit down.
但你喜欢！	But you like it!
祝你成功！	May you succeed!
祝您好运。	I wish you luck.
我不喜欢。	I don't like it.
烧一点水。	Boil some water.
这是账单。	Here's the bill.
今天很冷。	It's cold today.
我家很大。	My house is big.
我学英语。	I study English.
我要回家。	I wanna go home.
我在度假。	I'm on vacation.
去吃饭吧。	Let's go to eat.
水是液体。	Water is liquid.
快点回家。	Go home quickly.
走路小心。	Watch your step.
小心脚下。	Watch your step.
当心坠落。	Watch your step.
他没有钱。	He had no money.
他是作者。	He writes books.
她很健谈。	She talks a lot.
保守秘密。	Keep the secret.
我不需要。	I don't need it.
我想睡觉。	I want to sleep.
叶子落了。	The leaves fell.
直到下周。	Until next week.
猫讨厌水。	Cats hate water.
你认真的？	Are you serious?
我没有忘。	I didn't forget.
现在几点？	What time is it?
我没有钱。	I have no money.
我没钱了。	I have no money.
你几岁了？	How old are you?
你多大了？	How old are you?
我教中文。	I teach Chinese.
我教英语。	I teach English.
我教英文。	I teach English.
服了你了。	You're the boss.
春天到了。	Spring has come.
你个呆瓜！	You're an idiot.
你个傻子！	You're an idiot.
不，我沒去。	No, I didn't go.
你最好走。	You'd better go.
好大的狗！	What a huge dog!
耶稣恨你。	Jesus hates you.
我买了单。	I paid the bill.
我要这个。	I want this one.
数到三十。	Count to thirty.
你脸红了。	You're blushing.
我有兄弟。	I have brothers.
“没门儿！”“有。”	"No way!" "Way."
你还好吧？	Are you alright?
我要殺你！	I will kill you!
我想吃飯。	I'd like to eat.
坚持到底！	Stiff upper lip!
我想跳舞。	I want to dance.
回去工作。	Go back to work.
她消失了。	She disappeared.
別忘了我。	Don't forget me.
咖啡好了。	Coffee is ready.
别缠我了!	Stop bugging me!
我在变老。	I'm getting old.
猫在哪里？	Where's the cat?
你很可靠。	You're reliable.
您太好了。	You're the best.
你最好了。	You're the best.
我全知道。	I know all that.
我都知道。	I know all that.
我想做夢。	I want to dream.
我不著急。	I'm not worried.
你在做夢。	You're dreaming.
真的有用。	It really works.
汤姆小心！	Be careful, Tom!
汤姆，小心！	Tom, be careful!
这不安全。	This isn't safe.
坐得舒服。	Sit comfortably.
他好自私！	He's so selfish!
这不是爱。	This isn't love.
你紧张吗？	Are you nervous?
更清晰些。	Be more precise.
那算数吗？	Does that count?
別被騙了。	Don't be fooled.
我没吃饭。	I haven't eaten.
嚇死我了。	I was terrified.
我不嫉妒。	I'm not jealous.
我相当高。	I'm pretty tall.
它有毒嗎？	Is it poisonous?
有规矩的。	There are rules.
你骗了他！	You lied to him!
我得奋斗。	I have to fight.
你必须选。	You must choose.
我起得早。	I woke up early.
我非常困。	I'm very sleepy.
我很寂寞。	I'm very lonely.
爱很自私。	Love is selfish.
他搬了家。	He's moved away.
这不是盐。	This isn't salt.
我没有书。	I have no books.
他在路上。	He's on the way.
他侮辱她。	He insulted her.
不要撒谎!	Don't tell lies!
我不会来。	I will not come.
大错特错。	It's dead wrong.
照顾好他。	Look after them.
那不好聞。	That smells bad.
你很害羞。	You're very shy.
我很嚴格。	I'm very strict.
我想说话	I want to speak.
你长大了。	You've grown up.
等等。回来。	Wait. Come back.
八点多了。	It's past eight.
我教历史。	I teach history.
他可能忙。	Maybe he's busy.
我只吃肉。	I only eat meat.
禁止跨越。	No leaping over.
您在读书。	You are reading.
她不来了。	She didn't come.
他没有吃。	He hasn't eaten.
我读错了。	I read it wrong.
不要害怕！	Don't be afraid!
你死定了。	You are screwed.
乌龟死了。	The turtle died.
